name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Copenhagen,2021-05-15,11.9,8.1,10.3,11.9,6.1,9.3,8,86.3,0.115,100,29.17,rain,0,0,,20.7,231,1004.1,92,25.3,105.7,9,5,,2021-05-15T04:58:28,2021-05-15T21:15:00,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,E7634,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-16,13.9,8.3,10.7,13.9,6.1,10.2,8.7,87.3,4.047,100,20.83,rain,0,0,25.2,19.9,132.2,1002.2,65.2,26.1,180.5,15.6,7,,2021-05-16T04:56:40,2021-05-16T21:16:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06180099999,D6801,02615099999,06174099999,E7634,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-17,15.3,8.5,11.7,15.3,7.5,11.3,8.3,81.3,0.17,100,4.17,rain,0,0,21.6,20.7,180.1,1002.2,46.7,35.7,245.4,21.1,7,,2021-05-17T04:54:55,2021-05-17T21:18:36,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06180099999,06174099999,02615099999,E5732,E7634,06170099999,02611099999,C3540,06188099999,02635099999,06156099999,06181099999"
Copenhagen,2021-05-18,14.8,8.4,11.8,14.8,7.6,11.7,7.8,77.9,0,0,0,,0,0,21.9,15.7,264,1008.2,87.1,36.5,154,13.2,5,,2021-05-18T04:53:12,2021-05-18T21:20:23,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,D6801,02615099999,06174099999,E5732,06170099999,02611099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-19,14.5,9,11.7,14.5,7.3,11.2,6.1,69.8,0.13,100,25,rain,0,0,37.1,20.7,282.6,1012.6,72.4,52.4,189.8,16.3,7,,2021-05-19T04:51:32,2021-05-19T21:22:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,E7634,06170099999,02611099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-20,14,7.3,10.4,14,4.8,9.5,4.5,68.8,0,0,0,,0,0,47.5,30.9,262.7,1014.5,57,47.8,201.8,17.6,6,,2021-05-20T04:49:54,2021-05-20T21:23:52,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,E7634,06170099999,06188099999,02635099999"
Copenhagen,2021-05-21,14.4,5.9,10.8,14.4,4.6,10.3,7.5,80.6,0.953,100,20.83,rain,0,0,51.8,24.9,183.4,1004.6,69.6,45.4,186.3,16.1,6,,2021-05-21T04:48:19,2021-05-21T21:25:34,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,D6801,02615099999,06174099999,E5732,E7634,06170099999,06188099999,02635099999"
Copenhagen,2021-05-22,14.4,8.6,11.3,14.4,6.9,10.7,8.2,81.6,1.328,100,33.33,rain,0,0,44.6,29.9,179.1,1000.1,68.8,43.4,190.5,16.3,8,,2021-05-22T04:46:46,2021-05-22T21:27:14,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,E7634,ESMS,06170099999,02611099999,06188099999,02635099999,EKCH,EKRK"
Copenhagen,2021-05-23,12.8,6.7,10.4,12.8,5.1,9.4,6.1,76,1.058,100,33.33,rain,0,0,58.6,36.2,232.8,1006.5,78.8,41,96.5,8.3,4,,2021-05-23T04:45:15,2021-05-23T21:28:53,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-24,16.4,6.1,12.1,16.4,4.6,11.7,6.9,72.3,0,0,0,,0,0,50,26.9,138.3,1014,38.8,45.5,280.3,24.3,7,,2021-05-24T04:43:48,2021-05-24T21:30:30,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,D6801,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999,06181099999"
Copenhagen,2021-05-25,12.7,9.8,11.3,12.7,7.6,11.2,9.3,87.6,7.571,100,58.33,rain,0,0,28.5,18.2,136.9,1008.4,80.1,39.5,62.5,5.4,3,,2021-05-25T04:42:23,2021-05-25T21:32:06,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,D6801,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-05-26,11.6,8.7,9.8,11.6,5.5,8.1,7.9,88.5,7.088,100,54.17,rain,0,0,44.6,27.6,184.3,1006.3,86.7,36.2,116.1,10.1,6,,2021-05-26T04:41:01,2021-05-26T21:33:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999"
Copenhagen,2021-05-27,13.3,9.7,11.4,13.3,7.7,11.1,8.6,83.7,0.811,100,29.17,rain,0,0,5.4,17.3,196.4,1010,93.3,49.9,102.7,8.7,4,,2021-05-27T04:39:42,2021-05-27T21:35:10,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,C3540,06188099999,02635099999"
Copenhagen,2021-05-28,16.2,8.3,12.9,16.2,6.9,12.7,6.1,65.7,0.156,100,12.5,rain,0,0,38.9,20.9,317.1,1019.5,49.2,54.1,204.3,17.6,7,,2021-05-28T04:38:26,2021-05-28T21:36:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06180099999,02615099999,06174099999,E5732,ESMS,06170099999,02611099999,06188099999,02635099999,EKCH,EKRK"
Copenhagen,2021-05-29,16.1,9.5,12.4,16.1,8.2,12.3,8.5,78,0,0,0,,0,0,30,19.9,332.9,1024,36.1,31.6,287.9,24.8,8,,2021-05-29T04:37:14,2021-05-29T21:38:06,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-05-30,16.5,9,13.3,16.5,8.1,13.2,8.9,76.3,0,0,0,,0,0,21.6,21.9,157,1027.6,4.1,32.1,299,25.8,8,,2021-05-30T04:36:04,2021-05-30T21:39:30,0.63,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,ESMS,06170099999,02611099999,06188099999,02635099999,EKCH,02636099999,EKRK"
Copenhagen,2021-05-31,22.6,8.7,15.9,22.6,7.8,15.7,9.7,69.3,0.324,100,4.17,rain,0,0,25.2,16.3,336.5,1024.2,5.2,37,300.1,25.8,8,,2021-05-31T04:34:57,2021-05-31T21:40:53,0.67,Rain,Clear conditions throughout the day with afternoon rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-01,17.6,12.2,14.6,17.6,12.2,14.6,9.6,73,0.075,100,16.67,rain,0,0,32.1,20.2,13.9,1020.5,61.5,39.3,174.7,15.2,7,,2021-06-01T04:33:54,2021-06-01T21:42:12,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-02,19.2,10,14.1,19.2,10,14.1,9.4,74.1,0.044,100,4.17,rain,0,0,41.2,24.7,103.6,1023.2,50.5,40.3,209.1,17.9,8,,2021-06-02T04:32:54,2021-06-02T21:43:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06181099999"
Copenhagen,2021-06-03,21,13,16.7,21,13,16.7,8.8,60.7,0,0,0,,0,0,37.1,22.4,107.2,1025.6,2.1,48.1,293.8,25.4,8,,2021-06-03T04:31:57,2021-06-03T21:44:43,0.77,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-04,18.9,13,15.9,18.9,13,15.9,11,72.7,0.095,100,16.67,rain,0,0,,15.3,91.3,1024.6,69.2,40.9,142.2,12.5,4,,2021-06-04T04:31:04,2021-06-04T21:45:55,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-05,22,11.5,17.1,22,11.5,17.1,9.4,62.6,0,0,0,,0,0,25.2,18.7,108.3,1023.1,1.5,48.9,294.7,25.4,8,,2021-06-05T04:30:15,2021-06-05T21:47:03,0.83,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-06,23.2,13.6,18.9,23.2,13.6,18.9,9.5,56.5,0,0,0,,0,0,21.6,11.7,339.4,1022,36.6,49,281.4,24.1,8,,2021-06-06T04:29:29,2021-06-06T21:48:09,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-07,21,16.3,18.6,21,16.3,18.6,12.5,68.2,0,0,0,,0,0,28.8,22.5,351.6,1022.1,71.6,48,212.1,18.3,7,,2021-06-07T04:28:46,2021-06-07T21:49:11,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-08,21.1,14.3,17.2,21.1,14.3,17.2,11.2,69.2,0,0,0,,0,0,31.7,18.4,343.2,1022.3,30.8,44.8,305.6,26.4,8,,2021-06-08T04:28:07,2021-06-08T21:50:11,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-09,22.4,12.6,18.3,22.4,12.6,18.3,10.8,63.4,0,0,0,,0,0,37.1,15,305.5,1020.8,15.9,48.2,268.1,23.3,8,,2021-06-09T04:27:32,2021-06-09T21:51:07,0.97,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999,06181099999"
Copenhagen,2021-06-10,22.5,12.1,18.2,22.5,12.1,18.2,11.9,68.1,0,0,0,,0,0,31.7,15.5,292.9,1019.2,21.6,41,220.3,18.8,6,,2021-06-10T04:27:01,2021-06-10T21:52:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-11,22.8,14.4,19.1,22.8,14.4,19.1,14.2,74,0,0,0,,0,0,29.5,21,258.4,1016.3,64.8,40.4,160,13.9,5,,2021-06-11T04:26:33,2021-06-11T21:52:49,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999,06181099999"
Copenhagen,2021-06-12,18.6,13.9,16.7,18.6,13.9,16.7,9.7,64.8,0,0,0,,0,0,60.7,37.1,284.5,1012.1,69.3,38.3,193.6,16.8,7,,2021-06-12T04:26:09,2021-06-12T21:53:35,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-13,18.8,12.7,15.6,18.8,12.7,15.6,7.9,60.8,0,0,0,,0,0,58.5,29.9,296.4,1020.1,45.1,38.3,278.6,24.1,8,,2021-06-13T04:25:49,2021-06-13T21:54:17,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-14,22,11.3,16.9,22,11.3,16.9,11.9,74,0.008,100,4.17,rain,0,0,47.1,30,234.2,1019.4,51.3,39.6,213.8,18.4,8,,2021-06-14T04:25:33,2021-06-14T21:54:56,0.14,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-15,18.8,12.7,16.1,18.8,12.7,16.1,8.1,60.8,0,0,0,,0,0,40.7,23.1,299.8,1018.9,49.2,52.1,256.9,22.3,8,,2021-06-15T04:25:21,2021-06-15T21:55:31,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-16,19.8,10.1,16,19.8,10.1,16,9.8,68.2,0,0,0,,0,0,35.3,18.3,154,1019.5,10.6,46.8,300.6,25.8,8,,2021-06-16T04:25:12,2021-06-16T21:56:03,0.21,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-17,25.4,14.7,20.1,25.4,14.7,20.1,13.9,68.6,0,0,0,,0,0,39.6,26.5,126.7,1016.7,2.9,38.9,294.4,25.5,7,,2021-06-17T04:25:08,2021-06-17T21:56:30,0.24,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-18,28.2,18.5,23.2,28.2,18.5,23.3,15.8,64.1,0,0,0,,0,0,23.3,19.8,140.1,1014.6,0,29.7,291.8,25,7,,2021-06-18T04:25:07,2021-06-18T21:56:54,0.25,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-19,29.1,19.9,23.6,30.3,19.9,23.8,16.5,64.9,0,0,0,,0,0,33.5,23.6,188.6,1012.5,13.3,37.4,273.5,23.6,8,,2021-06-19T04:25:10,2021-06-19T21:57:14,0.31,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999"
Copenhagen,2021-06-20,25.7,16.2,20.7,25.7,16.2,20.7,16.6,78.2,0.819,100,8.33,rain,0,0,31.7,22.7,164.5,1009.6,19.7,34.2,185.8,16.1,5,,2021-06-20T04:25:17,2021-06-20T21:57:31,0.35,Rain,Clear conditions throughout the day with afternoon rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-21,19.4,14.7,16.4,19.4,14.7,16.4,13.1,80.9,2.925,100,12.5,rain,0,0,29.5,27,342.7,1008.7,68.6,47.7,150,13.1,7,,2021-06-21T04:25:28,2021-06-21T21:57:43,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-06-22,19.5,13.3,16.4,19.5,13.3,16.4,11,71.3,0,0,0,,0,0,25.2,19.9,268,1012.6,45,36.6,261.9,22.6,7,,2021-06-22T04:25:43,2021-06-22T21:57:51,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-23,19.4,11.7,16.7,19.4,11.7,16.7,13,79.2,0.147,100,4.17,rain,0,0,21.6,14.1,279.4,1018.5,77.3,41.6,106.6,9.2,3,,2021-06-23T04:26:02,2021-06-23T21:57:56,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,E4498,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-24,19.3,13.9,17.4,19.3,13.9,17.4,12.3,73.1,0,0,0,,0,0,28.8,13.9,326.2,1018.9,90.7,39.8,100.9,8.7,5,,2021-06-24T04:26:24,2021-06-24T21:57:56,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999,06156099999"
Copenhagen,2021-06-25,19.3,13.1,16.8,19.3,13.1,16.8,10.9,68.6,0,0,0,,0,0,25.2,13.5,310.5,1016.7,84.5,41.6,113.1,9.7,4,,2021-06-25T04:26:50,2021-06-25T21:57:53,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,C3540,06188099999,02635099999"
Copenhagen,2021-06-26,20.7,14.3,17.8,20.7,14.3,17.8,12.4,70.8,0,0,0,,0,0,25.2,13.6,333.9,1018.8,87.2,44.3,120.7,10.5,5,,2021-06-26T04:27:20,2021-06-26T21:57:46,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-27,21,16.1,18.1,21,16.1,18.1,13.5,74.8,0,0,0,,0,0,25.9,15.2,298.9,1017.7,63.2,45.2,164.9,14.3,7,,2021-06-27T04:27:53,2021-06-27T21:57:35,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-28,24.3,11.8,18.7,24.3,11.8,18.7,12.2,68.8,0,0,0,,0,0,29.5,17.4,233.5,1016.2,18.6,43.3,302.6,26.2,8,,2021-06-28T04:28:30,2021-06-28T21:57:19,0.62,Clear,Clear conditions throughout the day.,clear-day,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-29,25.3,13.8,20.4,25.3,13.8,20.4,12.7,63.4,0.079,100,12.5,rain,0,0,14.4,10.2,127.2,1012.3,37.4,52.3,221.7,18.9,7,,2021-06-29T04:29:11,2021-06-29T21:57:00,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-06-30,20,17.9,18.8,20,17.9,18.8,15.6,82.3,8.572,100,54.17,rain,0,0,23,23.5,11.3,1009.1,92.5,36.5,36.5,3.1,1,,2021-06-30T04:29:55,2021-06-30T21:56:37,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E7634,E5732,06170099999,02611099999,C3540,06188099999,02635099999"
Copenhagen,2021-07-01,19.2,16,17.2,19.2,16,17.2,15,87.3,6.053,100,66.67,rain,0,0,29.7,25.7,3.8,1009.4,97,30.4,94.6,8.2,4,,2021-07-01T04:30:42,2021-07-01T21:56:11,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,E7634,E5732,06170099999,02611099999,06188099999,02635099999,EKCH,02615099999,06174099999,02623099999,06156099999,EKRK"
Copenhagen,2021-07-02,20.1,17.1,18.5,20.1,17.1,18.5,17.3,93.2,19.324,100,70.83,rain,0,0,,13.2,11.4,1011.6,94.3,19.4,81.6,6.9,3,,2021-07-02T04:31:33,2021-07-02T21:55:40,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,D6801,02615099999,06174099999,E7634,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-07-03,22.8,18.1,20.2,22.8,18.1,20.2,17.7,85.7,1.273,100,20.83,rain,0,0,10.8,13.5,309.4,1013.2,80.7,26.1,194.4,16.6,6,,2021-07-03T04:32:27,2021-07-03T21:55:06,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-07-04,21.5,17.7,19.7,21.5,17.7,19.7,16.9,84.8,0.198,100,8.33,rain,0,0,21.6,15,161.1,1012,69.3,30.3,172.1,14.8,7,,2021-07-04T04:33:24,2021-07-04T21:54:28,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-07-05,23.3,17.3,19.6,23.3,17.3,19.6,16.8,84.9,0.881,100,25,rain,0,0,33.5,20.2,142.3,1009.3,52.4,26.8,189.1,16.4,7,,2021-07-05T04:34:24,2021-07-05T21:53:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,06188099999,02635099999"
Copenhagen,2021-07-06,23.1,13.7,18.9,23.1,13.7,18.9,16,83.7,14.221,100,25,rain,0,0,46.8,26.7,143.7,1009.1,58.2,43.6,192.9,16.7,7,,2021-07-06T04:35:28,2021-07-06T21:53:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,02611099999,06188099999,02635099999"
Copenhagen,2021-07-07,20.9,17.4,18.7,20.9,17.4,18.7,14.8,78.7,0.008,100,4.17,rain,0,0,17.7,21.3,196,1015.5,40.9,47,171.2,14.9,8,,2021-07-07T04:36:34,2021-07-07T21:52:12,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06180099999,02615099999,06174099999,E5732,06170099999,C3540,06188099999,02635099999"
