"STATION","NAME","DATE","PRCP","TMAX","TMIN", "PRICES"
"SWE00137534","MALMO A, SW","2010-05-22","0.00","69","56"
"SWE00137534","MALMO A, SW","2010-05-23","0.00","65","53"
"SWE00137534","MALMO A, SW","2010-05-24","0.01","61","51"
"SWE00137534","MALMO A, SW","2010-05-25","0.00","58","46"
"SWE00137534","MALMO A, SW","2010-05-26","0.00","59","46"
"SWE00137534","MALMO A, SW","2010-05-27","0.00","61","42"
"SWE00137534","MALMO A, SW","2010-05-28","0.28","59","36"
"SWE00137534","MALMO A, SW","2010-05-29","0.00","61","46"
"SWE00137534","MALMO A, SW","2010-05-30","0.11","61","45"
"SWE00137534","MALMO A, SW","2010-05-31","0.00","63","49"
"SWE00137534","MALMO A, SW","2010-06-01","0.43","58","51"
"SWE00137534","MALMO A, SW","2010-06-02","0.00","69","51"
"SWE00137534","MALMO A, SW","2010-06-03","0.00","65","52"
"SWE00137534","MALMO A, SW","2010-06-04","0.00","73","51"
"SWE00137534","MALMO A, SW","2010-06-05","0.00","71","46"
"SWE00137534","MALMO A, SW","2010-06-06","0.30","71","51"
"SWE00137534","MALMO A, SW","2010-06-07","0.52","66","49"
"SWE00137534","MALMO A, SW","2010-06-08","0.00","63","52"
"SWE00137534","MALMO A, SW","2010-06-09","0.05","66","53"
"SWE00137534","MALMO A, SW","2010-06-10","0.06","62","52"
"SWE00137534","MALMO A, SW","2010-06-11","0.12","64","53"
"SWE00137534","MALMO A, SW","2010-06-12","0.02","65","52"
"SWE00137534","MALMO A, SW","2010-06-13","0.00","59","52"
"SWE00137534","MALMO A, SW","2010-06-14","0.00","63","50"
"SWE00137534","MALMO A, SW","2010-06-15","0.06","62","49"
"SWE00137534","MALMO A, SW","2010-06-16","0.00","69","49"
"SWE00137534","MALMO A, SW","2010-06-17","0.00","67","45"
"SWE00137534","MALMO A, SW","2010-06-18","0.00","65","50"
"SWE00137534","MALMO A, SW","2010-06-19","0.01","62","47"
"SWE00137534","MALMO A, SW","2010-06-20","0.00","63","49"
"SWE00137534","MALMO A, SW","2010-06-21","0.00","70","43"
"SWE00137534","MALMO A, SW","2010-06-22","0.00","69","55"
"SWE00137534","MALMO A, SW","2010-06-23","0.00","69","55"
"SWE00137534","MALMO A, SW","2010-06-24","0.00","75","49"
"SWE00137534","MALMO A, SW","2010-06-25","0.00","72","54"
"SWE00137534","MALMO A, SW","2010-06-26","0.00","69","55"
"SWE00137534","MALMO A, SW","2010-06-27","0.00","74","46"
"SWE00137534","MALMO A, SW","2010-06-28","0.00","76","49"
"SWE00137534","MALMO A, SW","2010-06-29","0.00","80","48"
"SWE00137534","MALMO A, SW","2010-06-30","0.00","72","58"
"SWE00137534","MALMO A, SW","2010-07-01","0.00","73","54"
"SWE00137534","MALMO A, SW","2010-07-02","0.00","77","47"
"SWE00137534","MALMO A, SW","2010-07-03","0.00","82","62"
"SWE00137534","MALMO A, SW","2010-07-04","0.00","82","56"
"SWE00137534","MALMO A, SW","2010-07-05","0.00","79","57"
"SWE00137534","MALMO A, SW","2010-07-06","0.00","71","59"
"SWE00137534","MALMO A, SW","2010-07-07","0.00","71","56"
"SWE00137534","MALMO A, SW","2010-07-08","0.00","78","57"
"SWE00137534","MALMO A, SW","2010-07-09","0.00","86","63"
"SWE00137534","MALMO A, SW","2010-07-10","0.00","90","65"
"SWE00137534","MALMO A, SW","2010-07-11","0.42","89","65"
"SWE00137534","MALMO A, SW","2010-07-12","0.00","88","67"
"SWE00137534","MALMO A, SW","2010-07-13","0.06","81","68"
"SWE00137534","MALMO A, SW","2010-07-14","0.00","82","57"
"SWE00137534","MALMO A, SW","2010-07-15","0.04","79","66"
"SWE00137534","MALMO A, SW","2010-07-16","0.00","83","56"
"SWE00137534","MALMO A, SW","2010-07-17","0.00","78","64"
"SWE00137534","MALMO A, SW","2010-07-18","0.00","74","60"
"SWE00137534","MALMO A, SW","2010-07-19","0.00","77","53"
"SWE00137534","MALMO A, SW","2010-07-20","0.00","80","58"
"SWE00137534","MALMO A, SW","2010-07-21","0.00","81","54"
"SWE00137534","MALMO A, SW","2010-07-22","0.00","80","67"
"SWE00137534","MALMO A, SW","2010-07-23","0.00","77","65"
"SWE00137534","MALMO A, SW","2010-07-24","0.00","70","60"
"SWE00137534","MALMO A, SW","2010-07-25","0.00","70","60"
"SWE00137534","MALMO A, SW","2010-07-26","0.00","75","55"
"SWE00137534","MALMO A, SW","2010-07-27","0.00","78","51"
"SWE00137534","MALMO A, SW","2010-07-28","0.00","77","54"
"SWE00137534","MALMO A, SW","2010-07-29","0.07","74","57"
"SWE00137534","MALMO A, SW","2010-07-30","0.10","64","60"
"SWE00137534","MALMO A, SW","2010-07-31","0.04","76","61"
"SWE00137534","MALMO A, SW","2010-08-01","0.17","75","62"
"SWE00137534","MALMO A, SW","2010-08-02","0.00","76","63"
"SWE00137534","MALMO A, SW","2010-08-03","0.00","68","58"
"SWE00137534","MALMO A, SW","2010-08-04","0.44","72","53"
"SWE00137534","MALMO A, SW","2010-08-05","0.00","77","58"
"SWE00137534","MALMO A, SW","2010-08-06","0.37","73","59"
"SWE00137534","MALMO A, SW","2010-08-07","0.00","78","58"
"SWE00137534","MALMO A, SW","2010-08-08","1.30","69","61"
"SWE00137534","MALMO A, SW","2010-08-09","0.00","70","60"
"SWE00137534","MALMO A, SW","2010-08-10","0.00","73","50"
"SWE00137534","MALMO A, SW","2010-08-11","0.07","70","63"
"SWE00137534","MALMO A, SW","2010-08-12","1.04","76","53"
"SWE00137534","MALMO A, SW","2010-08-13","0.01","72","62"
"SWE00137534","MALMO A, SW","2010-08-14","2.58","68","56"
"SWE00137534","MALMO A, SW","2010-08-15","0.00","76","65"
"SWE00137534","MALMO A, SW","2010-08-16","0.54","73","65"
"SWE00137534","MALMO A, SW","2010-08-17","0.92","69","60"
"SWE00137534","MALMO A, SW","2010-08-18","0.19","67","57"
"SWE00137534","MALMO A, SW","2010-08-19","0.00","71","58"
"SWE00137534","MALMO A, SW","2010-08-20","0.02","72","58"
"SWE00137534","MALMO A, SW","2010-08-21","0.00","76","64"
"SWE00137534","MALMO A, SW","2010-08-22","0.31","73","64"
"SWE00137534","MALMO A, SW","2010-08-23","0.27","69","54"
"SWE00137534","MALMO A, SW","2010-08-24","0.00","68","62"
"SWE00137534","MALMO A, SW","2010-08-25","0.00","66","56"
"SWE00137534","MALMO A, SW","2010-08-26","0.00","65","54"
"SWE00137534","MALMO A, SW","2010-08-27","0.00","67","46"
"SWE00137534","MALMO A, SW","2010-08-28","0.00","66","48"
"SWE00137534","MALMO A, SW","2010-08-29","0.00","61","47"
"SWE00137534","MALMO A, SW","2010-08-30","0.00","67","47"
"SWE00137534","MALMO A, SW","2010-08-31","0.00","67","43"
"SWE00137534","MALMO A, SW","2010-09-01","0.00","67","44"
"SWE00137534","MALMO A, SW","2010-09-02","0.00","66","50"
"SWE00137534","MALMO A, SW","2010-09-03","0.00","64","39"
"SWE00137534","MALMO A, SW","2010-09-04","0.00","62","41"
"SWE00137534","MALMO A, SW","2010-09-05","0.00","65","37"
"SWE00137534","MALMO A, SW","2010-09-06","0.00","64","42"
"SWE00137534","MALMO A, SW","2010-09-07","0.01","64","44"
"SWE00137534","MALMO A, SW","2010-09-08","0.00","68","54"
"SWE00137534","MALMO A, SW","2010-09-09","0.08","67","56"
"SWE00137534","MALMO A, SW","2010-09-10","0.05","62","55"
"SWE00137534","MALMO A, SW","2010-09-11","0.03","62","51"
"SWE00137534","MALMO A, SW","2010-09-12","0.38","69","57"
"SWE00137534","MALMO A, SW","2010-09-13","0.13","64","54"
"SWE00137534","MALMO A, SW","2010-09-14","0.51","66","54"
"SWE00137534","MALMO A, SW","2010-09-15","0.03","62","50"
"SWE00137534","MALMO A, SW","2010-09-16","0.01","61","53"
"SWE00137534","MALMO A, SW","2010-09-17","0.04","59","52"
"SWE00137534","MALMO A, SW","2010-09-18","0.00","58","51"
"SWE00137534","MALMO A, SW","2010-09-19","0.35","59","50"
"SWE00137534","MALMO A, SW","2010-09-20","0.49","57","53"
"SWE00137534","MALMO A, SW","2010-09-21","0.00","61","54"
"SWE00137534","MALMO A, SW","2010-09-22","0.00","60","41"
"SWE00137534","MALMO A, SW","2010-09-23","0.00","66","51"
"SWE00137534","MALMO A, SW","2010-09-24","0.24","65","53"
"SWE00137534","MALMO A, SW","2010-09-25","0.00","60","54"
"SWE00137534","MALMO A, SW","2010-09-26","0.00","60","55"
"SWE00137534","MALMO A, SW","2010-09-27","0.00","58","53"
"SWE00137534","MALMO A, SW","2010-09-28","0.00","56","44"
"SWE00137534","MALMO A, SW","2010-09-29","0.00","56","44"
"SWE00137534","MALMO A, SW","2010-09-30","0.00","57","34"
"SWE00137534","MALMO A, SW","2010-10-01","0.00","55","37"
"SWE00137534","MALMO A, SW","2010-10-02","0.00","55","47"
"SWE00137534","MALMO A, SW","2010-10-03","0.00","56","50"
"SWE00137534","MALMO A, SW","2010-10-04","0.00","58","51"
"SWE00137534","MALMO A, SW","2010-10-05","0.00","56","50"
"SWE00137534","MALMO A, SW","2010-10-06","0.06","56","52"
"SWE00137534","MALMO A, SW","2010-10-07","0.05","56","51"
"SWE00137534","MALMO A, SW","2010-10-08","0.00","53","48"
"SWE00137534","MALMO A, SW","2010-10-09","0.00","57","42"
"SWE00137534","MALMO A, SW","2010-10-10","0.00","56","32"
"SWE00137534","MALMO A, SW","2010-10-11","0.00","54","33"
"SWE00137534","MALMO A, SW","2010-10-12","0.00","55","30"
"SWE00137534","MALMO A, SW","2010-10-13","0.02","54","32"
"SWE00137534","MALMO A, SW","2010-10-14","0.00","56","44"
"SWE00137534","MALMO A, SW","2010-10-15","0.00","50","31"
"SWE00137534","MALMO A, SW","2010-10-16","0.00","47","31"
"SWE00137534","MALMO A, SW","2010-10-17","0.00","46","23"
"SWE00137534","MALMO A, SW","2010-10-18","0.38","50","32"
"SWE00137534","MALMO A, SW","2010-10-19","0.07","52","44"
"SWE00137534","MALMO A, SW","2010-10-20","0.11","50","40"
"SWE00137534","MALMO A, SW","2010-10-21","0.15","45","29"
"SWE00137534","MALMO A, SW","2010-10-22","0.28","49","42"
"SWE00137534","MALMO A, SW","2010-10-23","0.21","49","41"
"SWE00137534","MALMO A, SW","2010-10-24","0.23","49","44"
"SWE00137534","MALMO A, SW","2010-10-25","0.17","49","39"
"SWE00137534","MALMO A, SW","2010-10-26","0.00","49","31"
"SWE00137534","MALMO A, SW","2010-10-27","0.38","48","35"
"SWE00137534","MALMO A, SW","2010-10-28","0.01","50","47"
"SWE00137534","MALMO A, SW","2010-10-29","0.01","52","48"
"SWE00137534","MALMO A, SW","2010-10-30","0.00","54","48"
"SWE00137534","MALMO A, SW","2010-10-31","0.02","54","48"
"SWE00137534","MALMO A, SW","2010-11-01","0.00","49","42"
"SWE00137534","MALMO A, SW","2010-11-02","0.22","49","43"
"SWE00137534","MALMO A, SW","2010-11-03","0.24","54","47"
"SWE00137534","MALMO A, SW","2010-11-04","0.50","51","47"
"SWE00137534","MALMO A, SW","2010-11-05","0.38","53","46"
"SWE00137534","MALMO A, SW","2010-11-06","0.17","48","43"
"SWE00137534","MALMO A, SW","2010-11-07","0.00","45","30"
"SWE00137534","MALMO A, SW","2010-11-08","0.02","40","26"
"SWE00137534","MALMO A, SW","2010-11-09","0.03","40","35"
"SWE00137534","MALMO A, SW","2010-11-10","0.06","45","37"
"SWE00137534","MALMO A, SW","2010-11-11","0.32","45","36"
"SWE00137534","MALMO A, SW","2010-11-12","0.06","49","39"
"SWE00137534","MALMO A, SW","2010-11-13","0.00","50","45"
"SWE00137534","MALMO A, SW","2010-11-14","0.11","51","40"
"SWE00137534","MALMO A, SW","2010-11-15","0.00","52","44"
"SWE00137534","MALMO A, SW","2010-11-16","0.00","44","31"
"SWE00137534","MALMO A, SW","2010-11-17","0.09","44","32"
"SWE00137534","MALMO A, SW","2010-11-18","0.35","39","37"
"SWE00137534","MALMO A, SW","2010-11-19","0.47","39","33"
"SWE00137534","MALMO A, SW","2010-11-20","0.00","38","33"
"SWE00137534","MALMO A, SW","2010-11-21","0.07","41","37"
"SWE00137534","MALMO A, SW","2010-11-22","0.46","41","36"
"SWE00137534","MALMO A, SW","2010-11-23","0.40","37","33"
"SWE00137534","MALMO A, SW","2010-11-24","0.06","35","27"
"SWE00137534","MALMO A, SW","2010-11-25","0.13","30","27"
"SWE00137534","MALMO A, SW","2010-11-26","0.17","28","22"
"SWE00137534","MALMO A, SW","2010-11-27","0.04","28","25"
"SWE00137534","MALMO A, SW","2010-11-28","0.11","30","22"
"SWE00137534","MALMO A, SW","2010-11-29","0.03","33","23"
"SWE00137534","MALMO A, SW","2010-11-30","0.00","23","14"
"SWE00137534","MALMO A, SW","2010-12-01","0.05","27","13"
"SWE00137534","MALMO A, SW","2010-12-02","0.15","28","25"
"SWE00137534","MALMO A, SW","2010-12-03","0.01","28","18"
"SWE00137534","MALMO A, SW","2010-12-04","0.03","31","25"
"SWE00137534","MALMO A, SW","2010-12-05","0.26","34","29"
"SWE00137534","MALMO A, SW","2010-12-06","0.00","35","29"
"SWE00137534","MALMO A, SW","2010-12-07","0.00","33","30"
"SWE00137534","MALMO A, SW","2010-12-08","0.00","31","28"
"SWE00137534","MALMO A, SW","2010-12-09","0.05","31","24"
"SWE00137534","MALMO A, SW","2010-12-10","0.29","32","21"
"SWE00137534","MALMO A, SW","2010-12-11","0.02","42","32"
"SWE00137534","MALMO A, SW","2010-12-12","0.00","36","21"
"SWE00137534","MALMO A, SW","2010-12-13","0.01","26","17"
"SWE00137534","MALMO A, SW","2010-12-14","0.00","26","22"
"SWE00137534","MALMO A, SW","2010-12-15","0.01","26","20"
"SWE00137534","MALMO A, SW","2010-12-16","0.48","31","15"
"SWE00137534","MALMO A, SW","2010-12-17","0.34","31","14"
"SWE00137534","MALMO A, SW","2010-12-18","0.07","28","20"
"SWE00137534","MALMO A, SW","2010-12-19","0.00","26","18"
"SWE00137534","MALMO A, SW","2010-12-20","0.36","25","13"
"SWE00137534","MALMO A, SW","2010-12-21","0.00","29","-1"
"SWE00137534","MALMO A, SW","2010-12-22","0.10","23","-8"
"SWE00137534","MALMO A, SW","2010-12-23","0.21","27","22"
"SWE00137534","MALMO A, SW","2010-12-24","0.01","27","16"
"SWE00137534","MALMO A, SW","2010-12-25","0.00","18","10"
"SWE00137534","MALMO A, SW","2010-12-26","0.12","25","17"
"SWE00137534","MALMO A, SW","2010-12-27","0.01","25","12"
"SWE00137534","MALMO A, SW","2010-12-28","0.00","26","11"
"SWE00137534","MALMO A, SW","2010-12-29","0.00","25","7"
"SWE00137534","MALMO A, SW","2010-12-30","0.04","26","1"
"SWE00137534","MALMO A, SW","2010-12-31","0.00","35","26"
"SWE00137534","MALMO A, SW","2011-01-01","0.00","38","29"
"SWE00137534","MALMO A, SW","2011-01-02","0.00","33","27"
"SWE00137534","MALMO A, SW","2011-01-03","0.05","31","16"
"SWE00137534","MALMO A, SW","2011-01-04","0.09","33","24"
"SWE00137534","MALMO A, SW","2011-01-05","0.08","33","26"
"SWE00137534","MALMO A, SW","2011-01-06","0.40","34","24"
"SWE00137534","MALMO A, SW","2011-01-07","0.03","35","28"
"SWE00137534","MALMO A, SW","2011-01-08","0.04","40","28"
"SWE00137534","MALMO A, SW","2011-01-09","0.06","42","34"
"SWE00137534","MALMO A, SW","2011-01-10","0.00","36","32"
"SWE00137534","MALMO A, SW","2011-01-11","0.15","34","28"
"SWE00137534","MALMO A, SW","2011-01-12","0.00","35","32"
"SWE00137534","MALMO A, SW","2011-01-13","0.13","35","31"
"SWE00137534","MALMO A, SW","2011-01-14","0.13","35","31"
"SWE00137534","MALMO A, SW","2011-01-15","0.52","36","33"
"SWE00137534","MALMO A, SW","2011-01-16","0.00","42","36"
"SWE00137534","MALMO A, SW","2011-01-17","0.29","43","36"
"SWE00137534","MALMO A, SW","2011-01-18","0.00","40","36"
"SWE00137534","MALMO A, SW","2011-01-19","0.01","38","33"
"SWE00137534","MALMO A, SW","2011-01-20","0.00","33","28"
"SWE00137534","MALMO A, SW","2011-01-21","0.00","31","26"
"SWE00137534","MALMO A, SW","2011-01-22","0.00","34","29"
"SWE00137534","MALMO A, SW","2011-01-23","0.02","35","29"
"SWE00137534","MALMO A, SW","2011-01-24","0.05","36","31"
"SWE00137534","MALMO A, SW","2011-01-25","0.05","38","35"
"SWE00137534","MALMO A, SW","2011-01-26","0.00","36","24"
"SWE00137534","MALMO A, SW","2011-01-27","0.00","29","15"
"SWE00137534","MALMO A, SW","2011-01-28","0.00","32","17"
"SWE00137534","MALMO A, SW","2011-01-29","0.00","34","24"
"SWE00137534","MALMO A, SW","2011-01-30","0.00","37","20"
"SWE00137534","MALMO A, SW","2011-01-31","0.00","30","22"
"SWE00137534","MALMO A, SW","2011-02-01","0.02","33","30"
"SWE00137534","MALMO A, SW","2011-02-02","0.07","36","31"
"SWE00137534","MALMO A, SW","2011-02-03","0.15","41","35"
"SWE00137534","MALMO A, SW","2011-02-04","0.56","42","34"
"SWE00137534","MALMO A, SW","2011-02-05","0.00","47","36"
"SWE00137534","MALMO A, SW","2011-02-06","0.33","41","34"
"SWE00137534","MALMO A, SW","2011-02-07","0.01","43","37"
"SWE00137534","MALMO A, SW","2011-02-08","0.00","44","40"
"SWE00137534","MALMO A, SW","2011-02-09","0.00","41","35"
"SWE00137534","MALMO A, SW","2011-02-10","0.20","39","33"
"SWE00137534","MALMO A, SW","2011-02-11","0.06","41","30"
"SWE00137534","MALMO A, SW","2011-02-12","0.00","33","18"
"SWE00137534","MALMO A, SW","2011-02-13","0.00","33","22"
"SWE00137534","MALMO A, SW","2011-02-14","0.00","30","25"
"SWE00137534","MALMO A, SW","2011-02-15","0.00","30","25"
"SWE00137534","MALMO A, SW","2011-02-16","0.00","29","27"
"SWE00137534","MALMO A, SW","2011-02-17","0.00","34","28"
"SWE00137534","MALMO A, SW","2011-02-18","0.00","30","27"
"SWE00137534","MALMO A, SW","2011-02-19","0.00","28","16"
"SWE00137534","MALMO A, SW","2011-02-20","0.01","27","13"
"SWE00137534","MALMO A, SW","2011-02-21","0.00","28","13"
"SWE00137534","MALMO A, SW","2011-02-22","0.01","26","16"
"SWE00137534","MALMO A, SW","2011-02-23","0.03","23","12"
"SWE00137534","MALMO A, SW","2011-02-24","0.00","26","20"
"SWE00137534","MALMO A, SW","2011-02-25","0.00","30","22"
"SWE00137534","MALMO A, SW","2011-02-26","0.00","33","27"
